I2S Rankings

Tech Score Ranking:
                                                       filename  tech_score_mean  Tech_Rank
                   oral_and_maxillofacial_surgeon_interview.txt                 0.071758                 28
                                     cartographer_interview.txt                 0.071728                 29
                                       podiatrist_interview.txt                 0.071624                 30
                            delivery_truck_driver_interview.txt                 0.071570                 31
                           clinical_social_worker_interview.txt                 0.071341                 32
                   diagnostic_medical_sonographer_interview.txt                 0.071217                 33
                    ophthalmic_medical_technician_interview.txt                 0.070349                 34
                           environmental_engineer_interview.txt                 0.070197                 35
                                          midwife_interview.txt                 0.069466                 36
                                 anesthesiologist_interview.txt                 0.069125                 37
                              pharmacy_technician_interview.txt                 0.068808                 38
                                     art_director_interview.txt                 0.067975                 39
                                     sports_coach_interview.txt                 0.067884                 40
                                       it_manager_interview.txt                 0.067806                 41
                      forensic_science_technician_interview.txt                 0.067782                 42
                                       accountant_interview.txt                 0.067750                 43
                                          actuary_interview.txt                 0.066999                 44
                      community_and_health_worker_interview.txt                 0.065560                 45
                                          plumber_interview.txt                 0.065305                 46
                                      audiologist_interview.txt                 0.065266                 47
                           occupational_therapist_interview.txt                 0.064988                 48
                                 technical_writer_interview.txt                 0.064876                 49
           veterinary_technologist_and_technician_interview.txt                 0.064640                 50
                                        architect_interview.txt                 0.063926                 51
                                       bus_driver_interview.txt                 0.063905                 52
                               management_analyst_interview.txt                 0.063563                 53
                                      taxi_driver_interview.txt                 0.063462                 54
                          market_research_analyst_interview.txt                 0.063427                 55
                                medical_scientist_interview.txt                 0.063323                 56
                                     orthodontist_interview.txt                 0.063212                 57
                                    choreographer_interview.txt                 0.062828                 58
                       medical_equipment_repairer_interview.txt                 0.061413                 59
                                teacher_assistant_interview.txt                 0.061267                 60
                                      electrician_interview.txt                 0.060907                 61
                                      logistician_interview.txt                 0.060773                 62
                       dietitian_and_nutritionist_interview.txt                 0.060395                 63
                                    web_developer_interview.txt                 0.060335                 64
                                       pharmacist_interview.txt                 0.060220                 65
                                         optician_interview.txt                 0.059899                 66
                          wind_turbine_technician_interview.txt                 0.059693                 67
                                     psychologist_interview.txt                 0.059081                 68
                                   civil_engineer_interview.txt                 0.058808                 69
                                       no_persona_interview.txt                 0.058753                 70
                               software_developer_interview.txt                 0.058164                 71
                                     veterinarian_interview.txt                 0.057655                 72
                                           lawyer_interview.txt                 0.057623                 73
                       computer_network_architect_interview.txt                 0.057608                 74
                         orthotist_and_prosthetis_interview.txt                 0.057492                 75
                              political_scientist_interview.txt                 0.057449                 76
                          industrial_psychologist_interview.txt                 0.057113                 77
                    obstetrician_and_gynecologist_interview.txt                 0.056464                 78
                     solar_photovoltaic_installer_interview.txt                 0.055878                 79
                              school_psychologist_interview.txt                 0.055787                 80
                                massage_therapist_interview.txt                 0.055505                 81
                               nurse_practitioner_interview.txt                 0.055344                 82
                            respiratory_therapist_interview.txt                 0.055089                 83
                                     pediatrician_interview.txt                 0.054903                 84
                                   security_guard_interview.txt                 0.054425                 85
                                          dentist_interview.txt                 0.053870                 86
                                genetic_counselor_interview.txt                 0.053744                 87
                      speech-language_pathologist_interview.txt                 0.053311                 88
                                nurse_anesthetist_interview.txt                 0.053074                 89
                                        paralegal_interview.txt                 0.052618                 90
                                        carpenter_interview.txt                 0.051323                 91
                                     statistician_interview.txt                 0.050982                 92
                                     psychiatrist_interview.txt                 0.050609                 93
                                       biochemist_interview.txt                 0.050588                 94
                                  health_educator_interview.txt                 0.049914                 95
              medical_and_health_services_manager_interview.txt                 0.049908                 96
                                 dental_hygienist_interview.txt                 0.049556                 97
 licensed_practical_and_licensed_vocational_nurse_interview.txt                 0.048646                 98
                   clinical_laboratory_technician_interview.txt                 0.048533                 99
                    maintenance_and_repair_worker_interview.txt                 0.045997                100
                   occupational_therapy_assistant_interview.txt                 0.033759                101
